No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Services	Mobilisation	Mobilisation and Demobilisation Allowance (Internal Cost Reference)	1	LOT	1500.00	1500.00	2026-07-09	INTERNAL COST REFERENCE	UNMARKED COST RATE - no markup included. For S01 final internal cost where root 1.3 Labour.txt has no exact mobilisation item. Covers small-project initial transport/coordination allowance only. If later SXX includes mobilisation/logistics again, correct immediately to avoid double count.
2	Labour	Temporary Works	Temporary Hoarding Installation Labour (Market Reference Per m)	1	M	25.00	25.00	2026-07-09	MARKET REFERENCE / CURRENT WEB SEARCH CHECK	UNMARKED COST RATE - no markup included. For S01 temporary hoarding installation where root 1.3 Labour.txt has no exact hoarding labour item. If supplier/subcontract quote later differs, correction file must be created immediately.
3	Labour	Signboard	Project Signboard Installation Labour (Internal Cost Reference)	1	PCS	150.00	150.00	2026-07-09	INTERNAL COST REFERENCE	UNMARKED COST RATE - no markup included. For installing one project signboard after material/signboard is confirmed. If signboard support/location changes, correct S01 immediately.
4	Services	Temporary Utilities	Temporary Water/Electricity Setup Allowance (Internal Cost Reference)	1	LOT	750.00	750.00	2026-07-09	INTERNAL COST REFERENCE	UNMARKED COST RATE - no markup included. For construction temporary utility setup/service allowance only. Permanent authority deposits, consultant fees and official connection charges excluded unless owner confirms inclusion. If later SXX includes same temporary utility item, correct immediately.
5	Services	Site Management	Site Supervision Admin Coordination Allowance (Internal Cost Per Day)	1	DAY	180.00	180.00	2026-07-09	INTERNAL COST REFERENCE	UNMARKED COST RATE - no markup included. Derived from skilled worker day equivalent RM180/day where a daily coordination allowance is needed and no exact master-list package exists. If project duration/preliminaries change, correct S01 immediately.
6	Labour	ESCP	ESCP Silt Fence Installation Labour (Current Working Cost Per m)	1	M	8.00	8.00	2026-07-10	MARKET CHECKED / INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For installing temporary silt fence/perimeter sediment control under S02. Includes trench/peg/fix/backfill labour allowance. If supplier quote differs, correct S02 immediately.
7	Labour	ESCP	ESCP Sandbag and Inlet Protection Installation Labour (Current Working Cost Per PCS)	1	PCS	2.00	2.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For placing filled sandbags/check-dam/inlet protection units under S02. Do not duplicate under permanent drainage scopes.
8	Services	ESCP	ESCP Maintenance and Inspection Allowance (Current Working Cost Per Visit)	1	VISIT	180.00	180.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For temporary ESCP inspection/cleaning/repositioning after initial installation. Use under S02 only; do not duplicate with S01 site coordination.
9	Services	Concrete Works	Concrete Pump / Placing Access Allowance (Current Working Cost Per Lot)	1	LOT	1200.00	1200.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For ready-mix concrete placement access where structural concrete volume is too large for practical manual placement and root Labour has no exact concrete pump/placing service line. Supplier quote should replace this when available. Keep separate from direct labour MH.
10	Services	Plumbing Rough-In	Plumbing Rough-In Pressure/Leak Test Allowance (Current Working Cost Per Lot)	1	LOT	350.00	350.00	2026-07-10	INTERNAL COST BASIS	UNMARKED COST RATE - no markup included. For S06 first-fix water/sewer rough-in test, temporary pressure/leak check and correction before slab/final finishes. Excludes final S12 fixture commissioning and S21 external sewer authority test.
