No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Roadworks	Premix Road	Crusher Run Base Tack Coat and Premix Material Allowance (Current Working Cost Per m2)	1	M2	65.00	65.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S14 proposed premix road / parking / hardstanding shown in SJ_02R&D-LP-01-S0-01. Paving/roller service separate.
2	Roadworks	Premix Road	Premix Laying Compaction and Roller Service Allowance (Current Working Cost Per m2)	1	M2	25.00	25.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For laying/compaction service to premix surface. Material/base separate.
3	Roadworks	Kerb	Concrete Road Kerb Supply Allowance (Current Working Cost Per m)	1	M	42.00	42.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For proposed kerb shown in road and drainage layout. Installation labour separate.
4	Roadworks	Kerb	Concrete Road Kerb Installation Labour Allowance (Current Working Cost Per m)	1	M	20.00	20.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For kerb bedding/setting/jointing labour.
5	Drainage	Surface Drain	375mm Wide Drain with 225mm HRGW Material Allowance (Current Working Cost Per m)	1	M	160.00	160.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S14 drawing legend item 375mm wide drain with 225mm HRGW.
6	Drainage	Surface Drain	375mm Drain Installation Labour Allowance (Current Working Cost Per m)	1	M	75.00	75.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For setting/installing 375mm drain including jointing and making good, excluding heavy excavation plant.
7	Drainage	Subsoil Drain	200mm Diameter Subsoil Drain Pipe Gravel and Geotextile Material Allowance (Current Working Cost Per m)	1	M	35.00	35.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S14 drawing legend item 200mm diameter subsoil drain. Installation labour separate.
8	Drainage	Subsoil Drain	200mm Subsoil Drain Installation Labour Allowance (Current Working Cost Per m)	1	M	22.00	22.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For trenching support, bedding, pipe laying and wrapping labour excluding heavy excavation plant.
9	Drainage	Sump	S1 1200 x 1200 Brick Sump Material Allowance (Current Working Cost Per no)	1	NO	900.00	900.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For drawing legend item S1 - 1200 x 1200 brick sump. Installation labour separate.
10	Drainage	Sump	S1 1200 x 1200 Brick Sump Installation Labour Allowance (Current Working Cost Per no)	1	NO	500.00	500.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For sump excavation support, brickwork/benching/cover setting and making good labour excluding heavy plant.
