No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Labour	Electrical Works (Conceal)	Pendawaian 1.5mm Kipas		PCS	150.00				
2	Labour	Electrical Works (Conceal)	Pendawaian 1.5mm Lampu / Exhaust Fan (Looping)		PCS	40.00				
3	Labour	Electrical Works (Conceal)	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (1st Switch)		PCS	110.00				
4	Labour	Electrical Works (Conceal)	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (Looping)		PCS	30.00				
5	Labour	Electrical Works (Conceal)	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (Looping) 1m > /mtr		PCS	30.00				
6	Labour	Electrical Works (Conceal)	Pendawaian 2.5mm 3 Pin Plug Point		PCS	150.00				
7	Labour	Electrical Works (Conceal)	Pendawaian 2.5mm 3 Pin Plug Point (Looping)		PCS	30.00				
8	Labour	Electrical Works (Conceal)	Pendawaian 2.5mm 3 Pin Plug Point (Looping) 1m > /mtr		PCS	30.00				
9	Labour	Electrical Works (Conceal)	Pendawaian 2.5mm Air Cond 1.03.0HP		PCS	250.00				
10	Labour	Electrical Works (Conceal)	Pendawaian 2.5mm Water Heater		PCS	250.00				
11	Labour	Electrical Works (Conceal)	Pendawaian Auto Gate >10m / Meter (1.5 9 Core)		PCS	60.00				
12	Labour	Electrical Works (Conceal)	Pendawaian Auto Gate >10m / Meter (2.5 9 Core)		PCS	70				
13	Labour	Electrical Works (Conceal)	Pendawaian Auto Gate Min 10m		PCS	800.00				
14	Labour	Electrical Works (Conceal)	Pendawaian D/B 12Way		PCS	350				
15	Labour	Electrical Works (Conceal)	Pendawaian D/B 16Way		PCS	350				
16	Labour	Electrical Works (Conceal)	Pendawaian D/B 30Way		PCS	350.00				
17	Labour	Electrical Works (Exposed)	Pendawaian 1.5mm Kipas		PCS	140.00				
18	Labour	Electrical Works (Exposed)	Pendawaian 1.5mm Lampu / Exhaust Fan (Looping)		PCS	40				
19	Labour	Electrical Works (Exposed)	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (1st Switch)		PCS	90.00				
20	Labour	Electrical Works (Exposed)	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (Looping)		PCS	30.00				
21	Labour	Electrical Works (Exposed)	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (Looping) 1m > /mtr		PCS	30.00				
22	Labour	Electrical Works (Exposed)	Pendawaian 2.5mm 3 Pin Plug Point		PCS	120.00				
