No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Electrical	Lighting	LED Light Point Wiring and Fitting Allowance (Current Working Cost Per point)	1	POINT	160.00	160.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For S13 size-based estimate. Includes wiring point and basic LED fitting allowance. Exact fitting type/brand/wattage pending electrical schedule.
2	Electrical	Emergency Light	Emergency / Exit Light Point Allowance (Current Working Cost Per point)	1	POINT	250.00	250.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Based on limited EL labels visible. If EL meaning differs, revise after legend.
3	Electrical	Fan Point	Ceiling Fan Point Controller and Wiring Allowance (Current Working Cost Per point)	1	POINT	220.00	220.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Based on KS labels and high-roof size-based allowance. Fan unit model/brand not final.
4	Electrical	Power Point	General Power Socket Outlet Point Allowance (Current Working Cost Per point)	1	POINT	180.00	180.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For full-building socket working-cost allowance only.
5	Electrical	Control Point	Switch Control Point Allowance (Current Working Cost Per point)	1	POINT	95.00	95.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For lighting/fan switching zone allowance.
6	Electrical	Aircond Point	Aircond Power Isolator Point and Wiring Allowance 1.5HP-3HP Average (Current Working Cost Per point)	1	POINT	650.00	650.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For AC electrical point/isolator/cabling average allowance. AC unit supply excluded unless owner later includes it.
7	Electrical	Ventilation	Exhaust Fan / Mechanical Ventilation Point Allowance (Current Working Cost Per point)	1	POINT	250.00	250.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For toilet/wet area ventilation point allowance.
8	Electrical	Distribution Board	3-Phase Distribution Board MCB RCD ELCB Protection Allowance (Current Working Cost Per lot)	1	LOT	5200.00	5200.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Preliminary DB/protection allowance for 25-30kW working demand estimate. Final design by electrician/engineer.
9	Electrical	Earthing	Earthing and Bonding Allowance (Current Working Cost Per lot)	1	LOT	1800.00	1800.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Final earth design pending electrical specification.
10	Electrical	Sundries	Electrical Conduit Cable Trunking and Fixing Sundries Allowance (Current Working Cost Per lot)	1	LOT	2800.00	2800.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Size-based sundries allowance because exact routing/cable schedule is not available.
11	Mechanical	Aircond Drain	Aircond Condensate Drain Pipe and Sleeve Allowance (Current Working Cost Per point)	1	POINT	180.00	180.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For AC drain/sleeve allowance only. Final pipe routing pending.
12	Labour	Electrical Installation	Electrical Point Installation Labour Allowance (Current Working Cost Per point)	1	POINT	75.00	75.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For light/emergency/fan/socket/switch point installation labour.
13	Labour	Aircond Point Installation	Aircond Point Electrical Installation Labour Allowance (Current Working Cost Per point)	1	POINT	180.00	180.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. For AC isolator/power point electrical installation labour.
14	Labour	DB Earthing Testing	DB Earthing Protection and Electrical Testing Labour Allowance (Current Working Cost Per lot)	1	LOT	2500.00	2500.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Labour for DB, earthing, protection setup and initial electrical testing.
15	Services	Testing Commissioning	Electrical Testing Labelling and Commissioning Allowance (Current Working Cost Per lot)	1	LOT	1200.00	1200.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. S13 final test/label/commission allowance before handover.
16	Services	Access Coordination	Ceiling Access Coordination and Making-Good Allowance (Current Working Cost Per lot)	1	LOT	1500.00	1500.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Coordinates with S12 ceiling/finishes but does not duplicate finish material.
17	Services	Tools Equipment	Electrical Tools Ladder Tester and Consumable Service Allowance (Current Working Cost Per lot)	1	LOT	850.00	850.00	2026-07-10	OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE	UNMARKED COST RATE - no markup included. Small tools/tester/equipment allowance.
