Paste to S15!A:C - SPEC
Spec	Description	Note
S15-TITLE	Fencing, gate, front meter/bin enclosure and boundary entrance metalwork	Current BOQ 100% cost basis from repeated check of Fencing and Gate drawing.
S15-STATUS	COMPLETE FOR NEXT SXX - CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	Margin/profit/customer selling price is not included and will be calculated later.
S15-SOURCE	Use `Fencing and Gate 1.pdf`.	Rendered and visually inspected: elevation from road outside, plan, sectional details, fencing section and title block.
S15-DRAWING-BASIS	Total frontage 19.486m from 4431mm + 10883mm + 4172mm. Main gate 10883mm. Anti-climb fencing to manufacturer detail. 900x700 metal doors. 200x200 ceramic wall/floor tiles. Drainage outlet, meter positions and MS grating shown.	Scale 1:50; quantities use drawing-derived full allowance basis.
S15-COSTCHECK	Undercost/overprice/double-count check done.	S01 temporary hoarding, S04 crossing bridge/road entrance, S14 road/drain/culvert, S13 internal electrical/security, S06 plumbing/sewer rough-in and S10 main building walling excluded. No markup included.
S15-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S15!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: anti-climb fencing panel to manufacturer detail. CALC NOTE: (4.431m + 4.172m) x 1.827m = 15.72m2.	S15-B1-001	Anti-Climb Fencing Panel Supply Allowance to Manufacturer Detail (Current Working Cost Per m2)	M2	15.72	0	260.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: large metal vehicle gate to manufacturer detail. CALC NOTE: 10.883m x 2.073m = 22.56m2.	S15-B1-002	Large Metal Vehicle Gate Supply Allowance to Manufacturer Detail (Current Working Cost Per m2)	M2	22.56	0	750.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: facing brick gate wall/post and meter/bin enclosure material allowance. Excludes S10 main building walling.	S15-B1-003	Facing Brick Gate Wall Post and Meter/Bin Enclosure Material Allowance (Current Working Cost Per m2)	M2	28	0	150.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: RC gate/fence footing, plinth, coping and base beam allowance. Excludes S04 entrance and S14 road/drain.	S15-B1-004	RC Gate Footing Plinth Coping and Base Beam Material Allowance (Current Working Cost Per m)	M	19.5	0	260.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: 900 x 700mm metal doors to manufacturer detail shown at bin/meter enclosures.	S15-B1-005	900 x 700mm Metal Door Supply Allowance to Manufacturer Detail (Current Working Cost Per set)	SET	2	0	900.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: 900 x 700mm metal door or glass window inspection panel allowance at right enclosure.	S15-B1-006	900 x 700mm Metal Door or Glass Window Inspection Panel Allowance (Current Working Cost Per set)	SET	1	0	650.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: 200 x 200mm ceramic wall and floor tiles at bin/meter enclosure areas.	S15-B1-007	200 x 200mm Ceramic Wall and Floor Tile Material Allowance (Current Working Cost Per m2)	M2	35	0	65.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: drainage outlet and small pipe connection at gate/bin area. External long drain excluded to S14.	S15-B1-008	Drainage Outlet and Small Pipe Connection Allowance (Current Working Cost Per point)	POINT	1	0	450.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: MS grating to engineer detail shown on plan.	S15-B1-009	MS Grating to Engineer Detail Allowance (Current Working Cost Per set)	SET	1	0	950.00
NO MARKUP - S15 RATE BASIS. CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS: electrical and water meter enclosure interface sundries. Utility authority meter/deposit not included.	S15-B1-010	Electrical and Water Meter Enclosure Interface Sundries Allowance (Current Working Cost Per lot)	LOT	1	0	2200.00
