No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Finishes	Ceiling	Seamless Joint Plasterboard Ceiling with KCC Emulsion Paint Material Allowance (Current Working Cost Per m2)	1	M2	45.00	45.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 PC ceiling where finishes legend specifies seamless joint plasterboard ceiling with KCC emulsion paint or approved equivalent. Labour separate.
2	Finishes	Wall Plaster Paint	Plastered Wall and KCC Emulsion Paint Material Allowance (Current Working Cost Per m2)	1	M2	18.00	18.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 PP wall finish where finishes legend specifies plastered and KCC emulsion paint or approved equivalent. Wall substrate excluded to S10.
3	Finishes	Tile Consumables	Tile Adhesive G88 Bonding Agent Bondplus Cement Grout Bonder and Grout Consumables Allowance (Current Working Cost Per m2)	1	M2	20.00	20.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 PT/CT floor and wall tile installation because drawing note requires G88 bonding agent and Bondplus cement grout bonder to S.O approval or equivalent. Tile supply by ID excluded where drawing says supplied by ID.
4	Finishes	Carpet Substrate	Cement Render and Two Coats Sissons Silicone Sealant under ID Carpet Material Allowance (Current Working Cost Per m2)	1	M2	22.00	22.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 carpet areas where carpet with underlay is supplied and installed by ID over cement render and two coats Sissons silicone sealant by main contractor. Carpet supply/install by ID excluded.
5	Sanitary	WC Fixture	WC Pan Cistern Seat and Flush Fitting Final Fixture Allowance (Current Working Cost Per set)	1	SET	550.00	550.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 final WC fixture sets counted from plan labels. S06 rough-in excluded.
6	Sanitary	Basin Fixture	Wash Hand Basin Tap Waste Trap and Bracket Final Fixture Allowance (Current Working Cost Per set)	1	SET	450.00	450.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 final basin sets counted from B labels / toilet layout. S06 rough-in excluded.
7	Sanitary	Tap Fixture	Bib Tap Ablution Tap Feet-Wash Tap Final Fixture Allowance (Current Working Cost Per point)	1	POINT	65.00	65.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 visible Tap/FEET WASH points. Pipe rough-in excluded to S06.
8	Sanitary	Grating	Stainless Steel Floor Trap / Sump Grating Final Cover Allowance (Current Working Cost Per point)	1	POINT	85.00	85.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 final floor trap/grating covers in toilets/wuduk/courtyard interface where visible. External drainage excluded to later SXX.
9	Sanitary	Accessories and Sundries	Sanitary Final Accessories Silicone Sealant Fixing and Small Fittings Allowance (Current Working Cost Per lot)	1	LOT	1000.00	1000.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 final sanitary small fittings, sealant, screws, flexible hoses, traps and accessories not in S06 rough-in.
10	Labour	Ceiling	Plasterboard Ceiling Installation Jointing and Paint Labour Allowance (Current Working Cost Per m2)	1	M2	35.00	35.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 PC ceiling installation, jointing, making good and paint application.
