Scope	WorkPackage	ItemStatus	MasterDescription	Qty	UOM	RateRM	SubtotalRM	Basis	CustomerVisibleNote	InternalNote
S01	Preliminaries / protection	MASTER ITEM NEEDED	INPUT NEEDED - Site protection / mobilisation item not yet confirmed in master list	1	LS			FLOORPLAN ESTIMATE	Protection, setting-out and site coordination before work starts.	Create or confirm exact Labour/Service master item before final BOQ.
S02	Minor hacking / making good	MASTER ITEM NEEDED	INPUT NEEDED - Hacking / making good item not yet confirmed in master list	1	LS			FLOORPLAN ESTIMATE	Minor alteration and making good only where needed for cabinet, wiring, plumbing and feature works.	Can alternatively build from skilled/helper MH after final site route confirmed.
S03	Plumbing relocation	MASTER ITEM NEEDED	INPUT NEEDED - Washing machine plumbing relocation item not yet confirmed in master list	1	SET			FLOORPLAN ESTIMATE	Relocate washing-machine water and waste point subject to route confirmation.	Need old/new point location from floor plan or site.
S04	Electrical wiring	FOUND IN LABOUR	Pendawaian 1.5mm Kipas	7	PCS	150.00	1050.00	CUSTOMER REQUEST	7 fan points stated by customer.	Conceal rate used for early budget; route to confirm.
S04	Electrical wiring	FOUND IN LABOUR	Pendawaian 2.5mm Air Cond 1.03.0HP	3	PCS	250.00	750.00	CUSTOMER REQUEST	3 air-conditioner points stated by customer.	Conceal rate used for early budget; horsepower/isolator route to confirm.
S04	Electrical wiring	FOUND IN LABOUR	Pendawaian 1.5mm Lampu / Exhaust Fan (Looping)	29	PCS	40.00	1160.00	FLOORPLAN ESTIMATE	Chandelier plus estimated downlight/eyeball/light looping points.	Assumption: 1 chandelier + 28 downlight/eyeball/light points; confirm lighting plan.
S04	Electrical wiring	FOUND IN LABOUR	Pendawaian 1.5mm Switch Lampu / Exhaust Fan (1st Switch)	6	PCS	110.00	660.00	FLOORPLAN ESTIMATE	Estimated switch groups for living, kitchen, dining/cabinet and bedrooms/common areas.	Switch grouping to confirm.
S04	Electrical wiring	FOUND IN LABOUR	Pendawaian 2.5mm 3 Pin Plug Point	12	PCS	150.00	1800.00	FLOORPLAN ESTIMATE	Estimated plug points for living, kitchen, TV, bedroom, cabinet and general use.	Final point count must be confirmed.
S04	Electrical installation	FOUND IN LABOUR	Pemasangan Hook Kipas Baru	7	PCS	40.00	280.00	CUSTOMER REQUEST	Fan hook installation allowance for 7 fans.	If existing hook usable, adjust later.
S04	Electrical installation	FOUND IN LABOUR	Pemasangan Kipas Biasa / Remote	7	PCS	45.00	315.00	CUSTOMER REQUEST	Fan fitting installation allowance for 7 fans.	Supply of fan not included unless listed.
S04	Electrical installation	FOUND IN LABOUR	Pemasangan Lampu Downlight / Tebuk	28	PCS	25.00	700.00	FLOORPLAN ESTIMATE	Estimated downlight/eyeball fitting installation.	Supply of light fitting not included unless listed.
S04	Electrical provisional subtotal	CALCULATED SUBTOTAL	Electrical known/provisional labour subtotal	1	LS	6715.00	6715.00	PARTIAL TOTAL	Electrical labour allowance is provisional and excludes fitting supply unless listed.	Subtotal only for rows with rates above; not final project total.
S05	Plaster ceiling C-box living	MASTER ITEM NEEDED	INPUT NEEDED - Plaster ceiling C-box item not yet confirmed in master list	200	SQFT			FLOORPLAN ESTIMATE	Living C-box plaster ceiling provisional allowance.	Use floor plan/living perimeter; final measure required.
S05	Plaster ceiling flat kitchen	MASTER ITEM NEEDED	INPUT NEEDED - Flat plaster ceiling item not yet confirmed in master list	120	SQFT			FLOORPLAN ESTIMATE	Kitchen flat plaster ceiling provisional allowance.	Final kitchen ceiling area required.
S06	Kitchen base cabinet	MASTER ITEM NEEDED	INPUT NEEDED - Base cabinet blockboard item not yet confirmed in master list	10	FT			FLOORPLAN ESTIMATE	Base cabinet blockboard provisional run.	Typical terrace basis; confirm kitchen wall run.
S06	Kitchen wall cabinet	MASTER ITEM NEEDED	INPUT NEEDED - Wall cabinet melamine item not yet confirmed in master list	8	FT			FLOORPLAN ESTIMATE	Wall cabinet melamine provisional run.	Adjust for window/hood/tall unit.
S06	Countertop	MASTER ITEM NEEDED	INPUT NEEDED - Porcelain/sintered countertop item not yet confirmed in master list	10	FT			FLOORPLAN ESTIMATE	Porcelain/sintered countertop provisional run.	Confirm depth/thickness/profile.
S06	Backsplash	MASTER ITEM NEEDED	INPUT NEEDED - Quartz backsplash item not yet confirmed in master list	25	SQFT			FLOORPLAN ESTIMATE	Quartz backsplash provisional area.	Assumption about 10ft run x 2.5ft high.
S06	Minor arch	MASTER ITEM NEEDED	INPUT NEEDED - Minor arch / cabinet feature item not yet confirmed in master list	1	SET			FLOORPLAN ESTIMATE	Minor arch detail allowance.	Need design reference.
S07	TV cabinet	MASTER ITEM NEEDED	INPUT NEEDED - TV cabinet melamine/blockboard arch item not yet confirmed in master list	8	FT			FLOORPLAN ESTIMATE	TV cabinet provisional width.	Confirm height/depth and arch/detail.
S08	Master bedroom cabinet	MASTER ITEM NEEDED	INPUT NEEDED - Master bedroom cabinet item not yet confirmed in master list	8	FT			FLOORPLAN ESTIMATE	Master bedroom cabinet provisional run.	Confirm layout and accessories.
S08	Make-up table	MASTER ITEM NEEDED	INPUT NEEDED - Make-up table item not yet confirmed in master list	4	FT			FLOORPLAN ESTIMATE	Make-up table provisional width.	Confirm mirror/light/drawer scope.
S09	Shoe cabinet	MASTER ITEM NEEDED	INPUT NEEDED - Shoe cabinet item not yet confirmed in master list	4	FT			FLOORPLAN ESTIMATE	Shoe cabinet provisional width.	Confirm height/depth and open/closed layout.
S10	Dining feature wall	MASTER ITEM NEEDED	INPUT NEEDED - Mirror/fluted/wainscoting item not yet confirmed in master list	64	SQFT			FLOORPLAN ESTIMATE	Dining mirror/fluted/wainscoting provisional area.	Assumption 8ft x 8ft feature wall; confirm design.
S11	SPC material supply	ADDITIONAL MATERIAL FOUND	4.5mm SPC Flooring Virgin Material	198	SQFT	2.85	564.30	FLOORPLAN ESTIMATE + 10% WASTE	Cheapest SPC option found; supply-only material rate from AdditionalMaterials reference.	180 SF living hall estimate + 10% waste = 198 SF order basis. Box basis would be 9 boxes x RM68.90 = RM620.10 supply only.
S11	SPC material supply by box	ADDITIONAL MATERIAL FOUND	4.5mm SPC Flooring Virgin Material Box Allowance	9	BOX	68.90	620.10	ROUND-UP BOX BASIS	Recommended box-order allowance for supply-only SPC material.	Use this instead of RM564.30 if pricing must follow full-box purchase.
S11	SPC installation / preparation	MASTER ITEM NEEDED	INPUT NEEDED - SPC installation / floor prep item not yet confirmed in master list	180	SQFT			FLOORPLAN ESTIMATE	Installation, floor prep, skirting/profile and delivery not included in material-only SPC rate.	Need labour/material rate for final floor package.
S12	Painting	MASTER ITEM NEEDED	INPUT NEEDED - Interior paint system item not yet confirmed in master list	900	SQFT			FLOORPLAN ESTIMATE	Painting provisional wall/ceiling area for affected zones.	Customer colour direction: Vanilla Latte / Timeless; exact code to confirm.
