No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Fencing	Anti-Climb Fence	Anti-Climb Fencing Panel Supply Allowance to Manufacturer Detail (Current Working Cost Per m2)	1	M2	260.00	260.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 anti-climb fencing shown on Fencing and Gate drawing. Installation labour separate.
2	Gate	Main Vehicle Gate	Large Metal Vehicle Gate Supply Allowance to Manufacturer Detail (Current Working Cost Per m2)	1	M2	750.00	750.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 main double leaf/swing gate shown approximately 10883mm wide, height taken from drawing/elevation basis. Installation/service separate.
3	Masonry	Facing Brick Gate Wall	Facing Brick Gate Wall Post and Meter/Bin Enclosure Material Allowance (Current Working Cost Per m2)	1	M2	150.00	150.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 facing brick brick post, bin/meter walls and side enclosures. Excludes S10 main building walling.
4	Concrete	Gate Footing Plinth Coping	RC Gate Footing Plinth Coping and Base Beam Material Allowance (Current Working Cost Per m)	1	M	260.00	260.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 gate/fence frontage plinth, footings and coping as shown in sectional details.
5	Door	Small Metal Door	900 x 700mm Metal Door Supply Allowance to Manufacturer Detail (Current Working Cost Per set)	1	SET	900.00	900.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 bin/meter enclosure metal doors shown on plan/elevation.
6	Door/Window	Meter Inspection Panel	900 x 700mm Metal Door or Glass Window Inspection Panel Allowance (Current Working Cost Per set)	1	SET	650.00	650.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 meter/glass inspection panel shown on drawing. Exact manufacturer detail pending but drawing provides size and location.
7	Finishes	Ceramic Tile	200 x 200mm Ceramic Wall and Floor Tile Material Allowance (Current Working Cost Per m2)	1	M2	65.00	65.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 bin/meter enclosure wall and floor tile areas shown on plan notes.
8	Drainage	Outlet	Drainage Outlet and Small Pipe Connection Allowance (Current Working Cost Per point)	1	POINT	450.00	450.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 bin/gate drainage outlet shown on plan; external drain line by S14 excluded.
9	Metalwork	Grating	MS Grating to Engineer Detail Allowance (Current Working Cost Per set)	1	SET	950.00	950.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 m.s grating shown in plan.
10	Services	Meter Facility	Electrical and Water Meter Enclosure Interface Sundries Allowance (Current Working Cost Per lot)	1	LOT	2200.00	2200.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For meter-box interface, sleeves, brackets, small accessories and enclosure sundries. Utility authority meter/deposit not included.
11	Labour	Gate Installation	Main Gate Fabrication Handling Hanging Alignment and Fixing Labour Allowance (Current Working Cost Per m2)	1	M2	160.00	160.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 large gate installation labour.
12	Labour	Fence Installation	Anti-Climb Fence Installation Labour Allowance (Current Working Cost Per m2)	1	M2	85.00	85.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 anti-climb fencing installation.
13	Labour	Masonry Tile Labour	Gate Facing Brick Wall Post and Tile Labour Allowance (Current Working Cost Per m2)	1	M2	65.00	65.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S15 facing brick, small wall, tile and enclosure finishing labour.
