No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	External Utility	Rainwater Harvesting	Rainwater Harvesting Tank Supply Install Connection Allowance (Current Working Cost Per set)	1	SET	6500.00	6500.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S16 site-plan rainwater harvesting tank to engineer's detail. Final tank brand/capacity to be confirmed by engineer/supplier; allowance is owner/drawing accepted current BOQ basis.
2	External Utility	Water Tank	One Day Supply Suction Tank Supply Install Connection Allowance (Current Working Cost Per set)	1	SET	4800.00	4800.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S16 1 day supply suction tank to engineer's detail. Final tank brand/capacity by engineer/supplier.
3	External Utility	Garden Tap	External Garden Tap Bib Tap Standpipe Valve and Fitting Allowance (Current Working Cost Per point)	1	POINT	220.00	220.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For visible garden tap points on site plan. Pipe run/water supply connection separate.
4	External Utility	External Water Pipe	External Water Supply Pipework Sleeve Valve and Connection Allowance (Current Working Cost Per m)	1	M	38.00	38.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For external water/tank/garden tap pipe route allowance. Exact pipe sizing by plumber/engineer.
5	External Utility	Rainwater Pipe	Rainwater Harvesting Overflow and Transfer Pipework Allowance (Current Working Cost Per m)	1	M	45.00	45.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Links S09 roof downpipe discharge to S16 rainwater harvesting tank and S14 drain interface where needed. Avoids duplicate with S14 drain body.
6	External Works	Concrete Paving	External Concrete Paving Slab Finish Allowance (Current Working Cost Per m2)	1	M2	95.00	95.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For site-plan conc paving to detail not already counted in S07 building slab/apron or S14 premix road.
7	External Works	Garden Tap Marker	Garden Tap Marker Box Small Concrete Apron and Protection Allowance (Current Working Cost Per point)	1	POINT	160.00	160.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Small protection apron/marker at external garden tap points.
8	External Utility	Testing Commissioning	External Water Rainwater Tank Tap Testing and Flushing Allowance (Current Working Cost Per lot)	1	LOT	850.00	850.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Final functional check for tank/tap/external water line. Excludes S06 internal sanitary test and S14 drain flushing.
9	Labour	Plumber	External Water Rainwater Tank and Garden Tap Installation Labour Allowance (Current Working Cost Per point/set)	1	POINT	180.00	180.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Labour for tank/garden tap/external pipework point/set installation. Detailed MH lines also included where relevant.
10	Labour	Concrete Paving	External Concrete Paving Form Lay Finish Labour Allowance (Current Working Cost Per m2)	1	M2	38.00	38.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Labour for external concrete paving not duplicated with S07 or S14.
11	Labour	Helper	Labour - General Helper (Per MH)	1	MH	16.25	16.25	2026-07-10	1.3 Labour.txt	Root labour rate. For external utility, paving, handling and cleaning support.
12	Labour	Skilled	Labour - Skilled Worker (Per MH)	1	MH	22.50	22.50	2026-07-10	1.3 Labour.txt	Root labour rate. Skilled coordination and making-good support.
13	Services	Small Plant	External Utility and Paving Small Plant Compaction Cutting Tool Allowance (Current Working Cost Per lot)	1	LOT	1200.00	1200.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Small plant/tool allowance for S16 external utility and concrete paving.
14	Services	Final Site Making Good	External Utility Final Making Good Cleaning and Handover Allowance (Current Working Cost Per lot)	1	LOT	1500.00	1500.00	2026-07-10	CUSTOMER/DRAWING ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Final making-good after S16 works; does not include project-wide final cleaning/defects unless owner later includes.
