Paste to S13!A:C - SPEC
Spec	Description	Note
S13-TITLE	Electrical, lighting, fan, power, aircond point and internal M&E working-cost estimate	Size-based working-cost estimate accepted by owner to proceed to S14. Not exact electrical drawing/spec measured.
S13-STATUS	WORKING-COST ESTIMATE COMPLETE - OWNER ACCEPTED SIZE-BASED PROVISIONAL PATH	Exact drawing/spec electrical design remains HOLD until dedicated electrical drawing or owner-confirmed final electrical schedule.
S13-AREA-BASIS	Covered internal/ceiling finish area 232.63m2; main prayer/carpet area 98.50m2; roof/high-volume risk considered from S09 roof basis.	Estimate is scaled to full covered building, not only the visible EL/KS labels.
S13-AIRCOND-BASIS	Full-building allowance: 8 AC points, about 18HP-20HP class total, about 166,000-184,000 BTU/h. Main hall practical basis: 4 x 3HP class.	AC unit supply/model/brand excluded unless owner later includes. S13 prices AC electrical point/isolator/drain allowance only.
S13-COSTCHECK	Undercost/overprice/double-count check done.	S12 ceiling/finishes, S06 plumbing rough-in, S11 aluminium/glass/opening, TNB authority fees/deposit and exact engineer final design are excluded. No markup included.
S13-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S13!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: LED light point wiring and fitting allowance. Exact fitting type/brand/wattage pending electrical schedule.	S13-B1-001	LED Light Point Wiring and Fitting Allowance (Current Working Cost Per point)	POINT	30	0	160.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: emergency/exit light point allowance based on limited EL labels. If EL meaning differs, revise after legend.	S13-B1-002	Emergency / Exit Light Point Allowance (Current Working Cost Per point)	POINT	4	0	250.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: ceiling fan point, controller and wiring allowance. Based on 4 visible KS labels plus size/high-roof comfort allowance.	S13-B1-003	Ceiling Fan Point Controller and Wiring Allowance (Current Working Cost Per point)	POINT	8	0	220.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: general power socket outlet point allowance for full building.	S13-B1-004	General Power Socket Outlet Point Allowance (Current Working Cost Per point)	POINT	22	0	180.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: switch/control point allowance for lighting/fan/control zones.	S13-B1-005	Switch Control Point Allowance (Current Working Cost Per point)	POINT	14	0	95.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: aircond power isolator point and wiring allowance, 1.5HP-3HP average. AC unit supply excluded.	S13-B1-006	Aircond Power Isolator Point and Wiring Allowance 1.5HP-3HP Average (Current Working Cost Per point)	POINT	8	0	650.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: exhaust fan / mechanical ventilation point allowance.	S13-B1-007	Exhaust Fan / Mechanical Ventilation Point Allowance (Current Working Cost Per point)	POINT	4	0	250.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: preliminary 3-phase DB / MCB / RCD / ELCB protection allowance. Final design by electrician/engineer.	S13-B1-008	3-Phase Distribution Board MCB RCD ELCB Protection Allowance (Current Working Cost Per lot)	LOT	1	0	5200.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: earthing and bonding allowance. Final earth design pending.	S13-B1-009	Earthing and Bonding Allowance (Current Working Cost Per lot)	LOT	1	0	1800.00
NO MARKUP - OWNER ACCEPTED SIZE-BASED WORKING-COST ESTIMATE: electrical conduit, cable, trunking and fixing sundries allowance. Not an exact cable-route takeoff.	S13-B1-010	Electrical Conduit Cable Trunking and Fixing Sundries Allowance (Current Working Cost Per lot)	LOT	1	0	2800.00
