Scope	Description	Qty	UOM	RateRM	AmountRM	Basis	Status
S01	Preliminaries, site protection and setting-out	1	LS	500.00	500.00	Logical provisional allowance	PRICED PROVISIONAL
S02	Minor alteration and making good	1	LS	600.00	600.00	Logical provisional allowance	PRICED PROVISIONAL
S03	Washing-machine plumbing relocation	1	SET	850.00	850.00	Short internal relocation allowance	PRICED PROVISIONAL
S04	Electrical wiring and installation subtotal	1	LS	6715.00	6715.00	From ActiveBOQ electrical takeoff using Labour master items	PRICED PROVISIONAL
S05	Living C-box plaster ceiling	80	RFT	18.00	1440.00	Floorplan/terrace logic estimate	PRICED PROVISIONAL
S05	Kitchen flat plaster ceiling	120	SQFT	5.00	600.00	Floorplan/terrace logic estimate	PRICED PROVISIONAL
S06	Kitchen base cabinet blockboard	28	FT	400.00	11200.00	DRAWING-DIMENSION CORRECTION: 3962mm + 5485mm - 3ft door allowance = about 28ft	PRICED PROVISIONAL
S06	Kitchen wall cabinet melamine	18	FT	280.00	5040.00	LOGICAL PROVISIONAL RATE: larger semi-D kitchen, upper cabinet allowance; final shop drawing to confirm	PRICED PROVISIONAL
S06	Porcelain/sintered countertop	28	FT	450.00	12600.00	DRAWING-DIMENSION CORRECTION: countertop follows corrected L-shape base run	PRICED PROVISIONAL
S06	Quartz backsplash	70	SQFT	50.00	3500.00	DRAWING-DIMENSION CORRECTION: 28ft x 2.5ft backsplash height allowance	PRICED PROVISIONAL
S06	Minor kitchen arch	1	SET	600.00	600.00	Small feature allowance	PRICED PROVISIONAL
S07	TV cabinet melamine/blockboard with arch	8	FT	525.00	4200.00	Floorplan/terrace logic estimate	PRICED PROVISIONAL
S08	Master bedroom cabinet	8	FT	430.00	3440.00	Floorplan/terrace logic estimate	PRICED PROVISIONAL
S08	Make-up table	4	FT	350.00	1400.00	Floorplan/terrace logic estimate	PRICED PROVISIONAL
S09	Shoe cabinet	4	FT	350.00	1400.00	Floorplan/terrace logic estimate	PRICED PROVISIONAL
S10	Dining mirror/fluted/wainscoting feature	64	SQFT	35.00	2240.00	Approx 8ft x 8ft feature wall	PRICED PROVISIONAL
S11	SPC package excluding optional glue	1	LS	1153.21	1153.21	SPC +10% material uplift, install labour, skirting/profile; delivery included in install labour	PRICED PROVISIONAL
S12	Painting affected zones	900	SQFT	1.80	1620.00	Floorplan/affected-zone logic estimate	PRICED PROVISIONAL
TOTAL	Provisional working total excluding optional glue	1	LS	59098.21	59098.21	Kitchen corrected to 28ft L-shape base/countertop; use markup-aware customer figure below	TOTAL
OPTIONAL	Optional SPC glue if required	1	TUB	93.50	93.50	Only if selected SPC/profile system needs glue	OPTIONAL
TOTAL_WITH_OPTIONAL_GLUE	Provisional total with optional SPC glue	1	LS	59191.71	59191.71	Kitchen corrected to drawing basis; optional glue does not materially change rounded selling figure	TOTAL OPTIONAL
SELLING_10_PERCENT	Selling estimate with 10% markup on cost	1	LS	65008.03	65008.03	Practical figure RM65,000	SELLING OPTION
SELLING_15_PERCENT	Selling estimate with 15% markup on cost	1	LS	67962.94	67962.94	Practical figure RM68,000	SELLING OPTION
SELLING_20_PERCENT	Selling estimate with 20% markup on cost	1	LS	70917.85	70917.85	Practical figure RM71,000 / RM72,000	SELLING OPTION
