Spec	Description	Note
PROJECT-TITLE	Surau Nilai / Surau Juasseh Sentosa consolidated BOQ SPEC A:C for QS pricing reference	This is a separate consolidated specification file for QS/estimator use. It does not replace the individual S01-S20 BOQ.xlsm paste-ready files, audit files, tracker files or calculation takeoff files.
PROJECT-BASIS	Cost-only BOQ specification chain from S01 to S20 correction checkpoint	All amounts remain working cost / current BOQ cost basis only. Customer selling price, markup and gross margin are outside SXX.
PROJECT-LOT	Lot 20093; site plan lot area 1,759m2 / 18,934 SF	Use Lot 20093 as governing working lot unless a later owner/customer correction changes it.
PROJECT-TOTAL	Corrected base working cost RM760,744.00; corrected working cost with optional 10% contingency RM836,818.40	Based on V41 after S12 V2 tile supply correction. Markup/customer selling price excluded.
S01-TITLE	Preliminaries, mobilisation, setting out, hoarding and signboard	Site/project setup before measured permanent works for Surau Nilai / SURAU JURESSALAM.
S01-OVERVIEW	Mobilisation/demobilisation, setting out, temporary hoarding, project signboard, safety/protection consumables, temporary utilities setup and site coordination	Working cost basis only. Hoarding/signboard included from Hoarding and Signboard drawing/source. No customer markup included.
S01-LOT	Governing working lot is Lot 20093	If any drawing/source shows Lot 20059 or another lot, treat as conflict and do not silently change the working lot.
S01-SOURCE	Hoarding and Signboard 1.pdf; Surau Site Plan Tender_Constn.pdf; Survey Tapak Surau Juassewh Sentosa.pdf; Materials/Labour/addendum references	Drawing/source reconciliation required if later contradiction affects hoarding length, signboard, preliminaries or site setup.
S01-QTY	Temporary hoarding working length 50m with 5% material wastage; project signboard 1 unit 4ft x 8ft	Labour uses rounded 53m for hoarding installation. Initial setting out/site setup labour: 2 skilled + 2 helpers for 1 day.
S01-INCLUDED	Hoarding material/install, project signboard material/install, site safety/protection consumables, temporary utility setup, mobilisation/demobilisation	Temporary works only; permanent utility/authority deposits excluded unless owner instructs.
S02-TITLE	ESCP and temporary erosion/sediment control	Temporary erosion and sediment control before/during early site disturbance.
S02-OVERVIEW	Temporary silt fence/perimeter sediment control, sandbag check/inlet protection, temporary drain/check-dam consumables, installation labour and ESCP maintenance/inspection	Separate from S01 hoarding and permanent drainage.
S02-SOURCE	SJ_01ESCP-LP-01-S0-00.pdf; Materials/Labour/addendum references	ESCP drawing is main S02 source.
S02-QTY	Silt fence 50m with 5% material wastage; sandbag/check/inlet protection 24 filled units; temporary drain/check-dam consumables 1 lot; maintenance/inspection 2 visits	Permanent drains/checkpits/outfall excluded to later drainage SXX.
S02-INCLUDED	Silt fence, filled sandbags, temporary ESCP drain/check-dam consumables, installation labour, inspection/maintenance visits	No customer markup included.
S03-TITLE	Site clearing, earthwork, cut/fill and platform formation	Revised drawing/spec basis after earthwork drawing quantity table rescan.
S03-STATUS	DRAWING/SPEC RESCAN PASS - revised current BOQ cost basis	Old S03 V1 low working allowance superseded by V2.
S03-SOURCE	SJ_01EW-CS-01-S0-00.pdf; SJ_01EW-DT-01-S0-00.pdf; SJ_01EW-LP-01-S0-00.pdf; Survey Tapak Surau Juassewh Sentosa.pdf	Lot 20093 remains governing working lot.
S03-DRAWING-FACTS	Earthwork quantity table: FILL 255m3; CUT 222m3; net import/fill balance 33m3; export 0m3	Cross sections show platform level and road/carpark levels.
S03-INCLUDED	Site clearing/stripping/grubbing over 1,759m2, selected imported fill 33m3, cut excavation/stockpile handling 222m3, fill/spread/compact 255m3, machinery, compaction, trimming and level checking	S02 temporary ESCP, S04 permanent entrance, S14 road/drainage and S16 concrete paving/utility excluded.
S04-TITLE	Crossing bridge and permanent site entrance	Measured working-cost drawing/spec basis from rendered CROSSING BRIDGE.pdf.
S04-SOURCE	CROSSING BRIDGE.pdf	Visible title block: LAYOUT PLAN AND DETAIL / CROSSING BRIDGE / STRC/DETAIL/01.
S04-SPEC	Abutment/wall G30, slabs G30 and lean concrete G15	Concrete grade/volume corrected from rendered drawing.
S04-QTY	Deck slab 10000 x 4000 x 250 = 10.00m3 G30; RC beams 2 beams 450 x 750 x 10000 net below slab = 4.50m3 G30; abutments/wing walls = 16.875m3 G30; lean concrete 0.60m3 G15	Rebar allowance 2,900kg before 5% waste/lap/cutting; formwork material 110m2 before 10% wastage/reuse loss.
S04-INCLUDED	G30/G15 concrete, reinforcement, formwork, labour, backhoe, concrete pump/placing access	Slab/beam double count avoided. No markup included.
