Paste to S13!A:C - SPEC
Spec	Description	Note
S13-TITLE	Electrical, lighting, fan, power, aircond point, PA/data/security and internal M&E working-cost estimate	V2 upgrades V1 from basic size-based estimate to premium-sensible surau estimate after owner correction.
S13-STATUS	WORKING-COST ESTIMATE COMPLETE - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED PROVISIONAL PATH	Exact drawing/spec electrical design remains HOLD until dedicated electrical drawing or owner-confirmed final electrical schedule.
S13-AREA-BASIS	Covered internal/ceiling finish area 232.63m2; main prayer/carpet area 98.50m2; roof/high-volume risk considered from S09 roof basis.	Estimate is scaled to full covered building and premium-surau comfort expectation, not only visible EL/KS labels.
S13-AIRCOND-BASIS	Full-building allowance: 10 AC points, about 23HP-24HP class total, about 200,000-212,000 BTU/h. Main hall practical basis: 4 x 3HP class.	AC unit supply/model/brand excluded unless owner later includes. S13 prices AC electrical point/isolator/cabling and condensate drain allowance only.
S13-PREMIUM-BASIS	Premium glass/aluminium and Breezeway Altair suggest S13 should not be too low: add feature lighting, PA/audio, CCTV/WiFi/data allowance, more switches/sockets and upgraded DB/SPD spare capacity.	Still controlled to avoid overprice; not a commercial over-design.
S13-COSTCHECK	Undercost/overprice/double-count check done.	S12 ceiling/finishes, S06 plumbing rough-in, S11 aluminium/glass/opening, AC unit supply, full PA/CCTV equipment supply, TNB authority fees/deposit and exact engineer final design are excluded. No markup included.
S13-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S13!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: LED light point wiring and fitting allowance. Exact fitting type/brand/wattage pending electrical schedule.	S13-B1-001	LED Light Point Wiring and Fitting Allowance (Premium-Sensible Working Cost Per point)	POINT	36	0	160.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: feature/external/mihrab/signage/amenity light point allowance.	S13-B1-002	Feature External Mihrab Signage and Amenity Light Point Allowance (Premium-Sensible Working Cost Per point)	POINT	8	0	220.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: emergency/exit light point allowance based on limited EL labels plus public-building spare coverage.	S13-B1-003	Emergency / Exit Light Point Allowance (Premium-Sensible Working Cost Per point)	POINT	6	0	250.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: ceiling fan point, controller and wiring allowance based on high-roof aircond+fan comfort strategy.	S13-B1-004	Ceiling Fan Point Controller and Wiring Allowance (Premium-Sensible Working Cost Per point)	POINT	10	0	220.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: general power socket outlet point allowance for surau, PA, office, cleaning, router, maintenance and support use.	S13-B1-005	General Power Socket Outlet Point Allowance (Premium-Sensible Working Cost Per point)	POINT	28	0	180.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: switch/control point allowance for lighting/fan/aircond/control zones.	S13-B1-006	Switch Control Point Allowance (Premium-Sensible Working Cost Per point)	POINT	18	0	95.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: aircond power isolator point and wiring allowance, 1.5HP-3HP average. AC unit supply excluded.	S13-B1-007	Aircond Power Isolator Point and Wiring Allowance 1.5HP-3HP Average (Premium-Sensible Working Cost Per point)	POINT	10	0	650.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: exhaust fan / mechanical ventilation point allowance for toilet/wet/support areas.	S13-B1-008	Exhaust Fan / Mechanical Ventilation Point Allowance (Premium-Sensible Working Cost Per point)	POINT	6	0	250.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: surau PA speaker, microphone and audio wiring/interface allowance. Full selected PA equipment supply excluded unless owner includes later.	S13-B1-009	Surau PA Speaker Microphone and Audio Wiring Allowance (Premium-Sensible Working Cost Per lot)	LOT	1	0	3500.00
NO MARKUP - OWNER ACCEPTED PREMIUM-SENSIBLE SIZE-BASED WORKING-COST ESTIMATE: CCTV/WiFi/router/data point cabling allowance. Camera/NVR/router equipment supply excluded unless owner includes selected system later.	S13-B1-010	CCTV WiFi Router and Low-Voltage Data Point Allowance (Premium-Sensible Working Cost Per point)	POINT	8	0	250.00
