Paste to S12!A:C - SPEC
Spec	Description	Note
S12-TITLE	Internal plaster, ceiling, finishes, sanitary final fixtures and internal finish interface	Current BOQ 100% cost basis from repeated check of floor plan/finishes legend, sections/elevations and sanitary/plumbing sources.
S12-STATUS	COMPLETE FOR NEXT SXX - CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS	Margin/profit/customer selling price is not included and will be calculated later.
S12-SOURCE	Use `Surau Plan Roof Plan Bldg Tender_Constn.pdf`, `Surau Juasseh sections and elevations tender_constn 1.pdf`, `Surau Sanitary Plumbing Schematic 1.pdf`, `Surau Sewerage Schematic 1.pdf`, plus S06/S10/S11 duplicate boundary files.	Rendered/text-extracted source and previous SXX boundaries checked before costing.
S12-FINISHES-SPEC	PC plasterboard ceiling with KCC emulsion paint. PP plastered wall with KCC emulsion paint. CT ceramic tile and PT 300x600 porcelain tile are supplied by ID and installed by main contractor. C carpet/underlay supplied and installed by ID over cement render and two coats Sissons silicone sealant by main contractor.	Tile supply and carpet supply/install are excluded where drawing says supplied by ID. Main contractor installation, consumables and substrate are included.
S12-SANITARY-SPEC	Final WC, basin, taps, grating covers, sanitary accessories, installation, testing and commissioning are included.	S06 rough-in excluded.
S12-COSTCHECK	Undercost/overprice/double-count check done.	S06 rough-in, S10 wall substrate/brickwork, S11 doors/windows/glazing, ID loose partition, ID shoe racks, built-in kitab racks to ID details, water tank/pump/external drainage and markup are excluded. No markup included.
S12-MARKUP	All lines are working cost only.	Customer selling price/margin to be calculated later.

Paste to S12!E:K - Materials Block
Note	Spec	Description	UOM	Usage Qty	Wastage/Buffer	Price/Unit (RM)
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: PC seamless joint plasterboard ceiling with KCC emulsion paint or approved equivalent. CALC NOTE: covered internal area full allowance 232.63m2.	S12-B1-001	Seamless Joint Plasterboard Ceiling with KCC Emulsion Paint Material Allowance (Current Working Cost Per m2)	M2	232.63	0	45.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: PP plastered and KCC emulsion paint wall finish. Wall substrate/brickwork excluded to S10. CALC NOTE: 360m2 full wall-finish allowance.	S12-B1-002	Plastered Wall and KCC Emulsion Paint Material Allowance (Current Working Cost Per m2)	M2	360	0	18.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: G88 bonding agent, Bondplus cement grout bonder and tile consumables for PT/CT tile installation. Tile supply by ID excluded. CALC NOTE: PT 100m2 + CT 175m2 = 275m2.	S12-B1-003	Tile Adhesive G88 Bonding Agent Bondplus Cement Grout Bonder and Grout Consumables Allowance (Current Working Cost Per m2)	M2	275	0	20.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: cement render and two coats Sissons silicone sealant by main contractor under ID carpet. Carpet and underlay supplied/installed by ID excluded. CALC NOTE: 98.50m2.	S12-B1-004	Cement Render and Two Coats Sissons Silicone Sealant under ID Carpet Material Allowance (Current Working Cost Per m2)	M2	98.5	0	22.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: WC pan, cistern, seat and flush fitting final fixture set. S06 rough-in excluded.	S12-B1-005	WC Pan Cistern Seat and Flush Fitting Final Fixture Allowance (Current Working Cost Per set)	SET	5	0	550.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: wash hand basin, tap, waste trap and bracket final fixture set. S06 rough-in excluded.	S12-B1-006	Wash Hand Basin Tap Waste Trap and Bracket Final Fixture Allowance (Current Working Cost Per set)	SET	4	0	450.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: bib tap, ablution tap and feet-wash tap final fixtures. Pipe rough-in excluded to S06.	S12-B1-007	Bib Tap Ablution Tap Feet-Wash Tap Final Fixture Allowance (Current Working Cost Per point)	POINT	15	0	65.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: stainless steel floor trap / sump grating final covers. External drainage/longkang excluded to later SXX.	S12-B1-008	Stainless Steel Floor Trap / Sump Grating Final Cover Allowance (Current Working Cost Per point)	POINT	10	0	85.00
NO MARKUP - S12 RATE BASIS. CUSTOMER/README ACCEPTED FULL ALLOWANCE BASIS: final sanitary small fittings, silicone sealant, fixing and accessories not in S06 rough-in.	S12-B1-009	Sanitary Final Accessories Silicone Sealant Fixing and Small Fittings Allowance (Current Working Cost Per lot)	LOT	1	0	1000.00

